menu;marque;modele;description_catalogue;page
Lumière;RVE;36x2;DMX, entrée P17 125tri/sorties PC16A;114
Lumière;ROBERT JULIAT;Interface HERMES;;114
Lumière;ASTERA;ART7 Bluebox;Interface Bluetooth / CRMX / W-DMX;114
Lumière;CHAUVET;Festoon driver;"Driver ampoule Festoon ""Data over power""";114
Lumière;ROBE;RDM Communicator Interface DMX multi-fonctions;;115
Lumière;AVENGER;C825;Barre télescopique 117 cm / 30 kg à 220 cm / 7 kg;116
Audio;L-ACOUSTICS;LA-RAK III-AVB;;120
Audio;L-ACOUSTICS;LA-RACK II - AVB;;120
Audio;L-ACOUSTICS;P1;;121
Audio;L-ACOUSTICS;SB10i;;121
Audio;L-ACOUSTICS;SOKA;;121
Audio;YAMAHA;DM7-EXT;;121
Audio;L-ACOUSTICS;SYVA BLANC;;121
Audio;YAMAHA;DM3;;121
Audio;L-ACOUSTICS;L2;;122
Audio;L-ACOUSTICS;L2-D;;122
Audio;L-ACOUSTICS;L2-Bump;;122
Audio;L-ACOUSTICS;K3;;123
Audio;L-ACOUSTICS;K3-Bump;;123
Audio;L-ACOUSTICS;K3-Tilt;;123
Audio;TAIDEN;HCS-4800MA;TAIDEN HCS-4838NCSD-D/80;124
Audio;BOSCH;DCNM-WDE;;124
Audio;SENNHEISER;HDE 2020-D-II;;125
Audio;TAIDEN;HCS5100MA08M + HCS5100PA;;125
Audio;SENNHEISER;EK 2020-D-II;;125
Audio;TAIDEN;HCS8685;;125
Audio;L-ACOUSTICS;LARAK-II-AVB;Rack de 3 LA12X avec switch LS10 AVB;131
Audio;L-ACOUSTICS;LARAK-AES;Rack de 3 x LA8-AES - 12 x 1800 W;131
Audio;L-ACOUSTICS;LA12X;Contrôleur amplifié basé sur une architecture;131
Audio;L-ACOUSTICS;LA8 AES;Processeur amplifié - 4 x 1800 W;131
Audio;L-ACOUSTICS;LA4X;Processeur amplifié - 4 x 1000 W;131
Audio;L-ACOUSTICS;KS28;;131
Audio;L-ACOUSTICS;108P;;131
Audio;L-ACOUSTICS;112P;;131
Audio;L-ACOUSTICS;SB15M;;131
Audio;YAMAHA;VXS8;Enceinte murale 180 W, noire;132
Audio;YAMAHA;VXS5;;132
Audio;YAMAHA;VXS3F;Set de 2 enceintes murales 40 W, noires ou blanches;132
Audio;YAMAHA;VXS10S;Sub passif 2 x 200W, noire;132
Audio;BOSE;S1;Enceinte amplifiée, table de mixage 3 canaux intégrée;132
Audio;BOSE;L1;Enceinte Line-Array Compacte noire;132
Audio;BOSE;802 Série III;240 W / 8 Ω, 1 voie passive;132
Audio;YAMAHA;MSP5;Paire d'enceinte monitoring (40+27W bi-amp);132
Audio;YAMAHA;SW10;"Enceinte grave amplifiée ""subwoofer"" 160W";132
Audio;FOHHN;FP22 RX;Enceinte amplifiée autonome sur batterie,;132
Audio;FOHHN;FP22 RXTX;Enceinte amplifiée autonome sur batterie,;132
Audio;QSC;PLX1802;Amplificateur 2 x 325 W / 8Ω;133
Audio;YAMAHA;XMV8140D;Amplificateur 8 x 140 W / DANTE;133
Audio;YAMAHA;XMV8280D;Amplificateur 8 x 280 W / DANTE;133
Audio;YAMAHA;PC412-DI;Amplification 4 x 1200 W / DANTE / 100V;133
Audio;L-ACOUSTICS;DX5 AMPLI Rack ampli;;133
Audio;DIGICO;SD10;Console de mixage numérique, 96 entrées,;134
Audio;ALLEN & HEATH;SQ5;16 Faders, 48 canaux;134
Audio;YAMAHA;DM7-EXT 30 Faders, 120;;134
Audio;YAMAHA;CL5;32 Faders, 72 canaux, 32+2 bus;134
Audio;YAMAHA;CL1;16 Faders, 48 canaux, 32+2 bus;134
Audio;YAMAHA;QL5;32 Faders, 72 canaux, 32+2 bus;134
Audio;YAMAHA;QL1;16+2 faders, 32+8 canaux, 16 mix, 8 matrix;134
Audio;YAMAHA;TF1;16+1 faders, 32 voies mono;134
Audio;YAMAHA;O1V96i;16 Faders, 32 Canaux, 8+1bus;134
Audio;QSC;TouchMix16;20 entrées (12 mono + 4 stéréo), 6+2 aux;134
Audio;MIDAS;DL251;Rack de scène 58 in / 16 out;134
Audio;YAMAHA;RIO 3224D / RIO 3224D2;Patch d'entrées/sorties sous protocole réseau DANTE, 32 IN, 16 OUT, + 4 OUT AES/EBU;134
Audio;YAMAHA;RIO 1608D / RIO 1608D2;Patch d'entrées/sorties sous protocole réseau DANTE, 16 IN, 8 OUT, + 4 OUT AES/EBU;134
Audio;DIGICO;SD Rack;Patch d'entrées/sorties sous protocole réseau Optocore;134
Audio;MIDAS;Venice160 8+4st Analog IN,;;135
Audio;MIDAS;Venice240 16+4st Analog IN,;;135
Audio;MIDAS;Venice320 24+4st Analog IN,;;135
Audio;YAMAHA;MG12XU;Console de mixage 12 canaux – 6 entrées micro,;135
Audio;YAMAHA;MG06X;Console de mixage 6 canaux – 2 entrées micro,;135
Audio;YAMAHA;EMX312SC Console analogique amplifiée,;;135
Audio;FOCUSRITE;Octopre Platinum;Préampli 8 micros, carte ADAT;136
Audio;BSS;DPR402;Stéréo, entrées/sorties XLR;136
Audio;BSS;DPR404;Stéréo, entrées/sorties XLR;136
Audio;BSS;DPR901;Stéréo ou mono 4 bandes, XLR;136
Audio;BSS;DPR504;4 canaux, entrées/sorties XLR;136
Audio;BSS;FCS966;2 x 31 bandes, graphique;136
Audio;KLARK TEKNIK;DN360;2 x 31 bandes, graphique;136
Audio;BSS;Soundweb 9088ii;8 entrées/8 sorties;136
Audio;TC ELECTRONIC;2290;Mono, entrées/sorties XLR;137
Audio;TC ELECTRONIC;D-TWO;Stéréo, entrées/sorties Jack 6,35;137
Audio;LEXICON;PCM70;Stéréo, entrées/sorties Jack 6,35;137
Audio;LEXICON;PCM90/91;Stéréo, carte mémoire;137
Audio;TC ELECTRONIC;TC6000;Version Mastering stéréo;137
Audio;TC ELECTRONIC;M2000;Double stéréo, carte mémoire;137
Audio;LEXICON;PCM80;Stéréo, carte mémoire;137
Audio;LEXICON;PCM96;Surround, carte mémoire;137
Audio;YAMAHA;SPX900/1000;Stéréo;137
Audio;YAMAHA;SPX990;Stéréo, carte mémoire;137
Audio;YAMAHA;SPX2000;Stéréo;137
Audio;FOHHN;A-1 Live;Interface de sortie audio USB vers 2 x XLR;138
Audio;RME;MADI Routeur;12 ports et convertisseur de format;138
Audio;RME;MADIface XT;Interface USB3/MADI 394 canaux;138
Audio;ROLAND;UA-1610;Interface USB 2.0, 24 bit, 192 kHz;138
Audio;DIGICO;Digigrid MGB;Serveur de traitement audio;138
Audio;TASCAM;CD-200;Lecteur CD / MP3 / WAV;140
Audio;TASCAM;SS-CDR200;Lecteur/enreg. CD/SD/CF/USB;140
Audio;PIONEER;DJM-V10;6 entrées line + 2 phono pour Serato / Rekordbox;140
Audio;PIONEER;DJM2000 Nexus;6 entrées line + 2 phono + 4 numériques;140
Audio;PIONEER;DJM900 Nexus 2;Console « DJ » 4 voies audio, 2 voies Mic,;140
Audio;PIONEER;DJM A9;Console « DJ » 4 voies audio, 2 voies Mic,;140
Audio;ALLEN & HEATH;Xone92;6 entrées line + 4 phono;140
Audio;ALLEN & HEATH;Xone22;2 entrées line / phono;140
Audio;ALLEN & HEATH;XoneDB4;4 entrées line / phono + effets;140
Audio;RANE;TTM57SL;Console avec Serato Live,;140
Audio;PIONEER;CDJ3000;Lecteur USB/SD avec écran tactile;140
Audio;PIONEER;CDJ2000 Nexus 2;Lecteur USB/CD/SD avec pitch;140
Audio;PIONEER;CDJ2000 Nexus;Lecteur USB/CD/SD avec pitch;140
Audio;RANE;SL4 Serato;Fourni avec vinyle et CD timecodé;140
Audio;TECHNICS;SL1210Mk2;Platine vinyle;140
Audio;TECHNICS;SL1210Mk7;Platine vinyle +16 / - 16;140
Audio;PIONEER;PLX1000;Platine vinyle;140
Audio;PIONEER;RMX1000;Station de remixage DJ;140
Audio;RANE;Serato SL4;;141
Audio;PIONEER;CDJ2000 2;;141
Audio;SENNHEISER;EW335 G3;Liaison UHF simple 1 émetteur + récepteur simple Plan AX / BX / GX;142
Audio;SENNHEISER;SK300;Émetteur pocket, connecteur mini jack Plan AX / BX / GX;142
Audio;SENNHEISER;EW335 G4;Liaison UHF simple 1 émetteur + récepteur simple Plan GW;142
Audio;SHURE;UR4D+;Récepteur double, Plan H4E / J5E / L3E;142
Audio;SHURE;UR1M;;142
Audio;SHURE;UR1;Émetteur pocket, connecteur TA4M, Plan H4E / J5E / L3E;142
Audio;SHURE;UR2;Émetteur main, Plan H4E / J5E / L3E;142
Audio;SHURE;AD4D;Récepteur double, Plan G56;142
Audio;SHURE;AD4Q;Récepteur quad, Plan G56;142
Audio;SHURE;AD1;Émetteur pocket, connecteur TA4N, Plan G56;142
Audio;SHURE;ADX1M;Émetteur pocket miniature, connecteur LEMO3, Plan G56;142
Audio;SHURE;AD2;Émetteur main, Plan G56;142
Audio;DPA;4488-DC-F;Serre-tête cardioïde, couleur chair;142
Audio;DPA;4088F;Serre-tête cardioïde, couleur chair;142
Audio;DPA;D:fine 4088F;Serre-tête cardioïde, couleur chair ou noir;142
Audio;DPA;D:fine 4466-OC-F;Serre-tête omni-directionel, couleur chair;142
Audio;DPA;D:fine 4066F;Serre-tête omni-directionel, couleur chair;142
Audio;DPA;D:screet 4060F;Serre-tête omni-directionel, couleur chair ou noir;142
Audio;SENNHEISER;ME3-EW;Serre-tête cardioïde, pour SK100/300/500, noir;142
Audio;SENNHEISER;MKE40;Cravate cardioïde, couleur noir                    26;142
Audio;SHURE;WL183;Cravate omni couleur noir                          26;142
Audio;SHURE;WL184;Cravate super-cardioïde, couleur noir              26;142
Audio;SHURE;WL185;Cravate cardioïde, couleur noir                    26;142
Audio;SHURE;Liaison Axient Digital 12;3 récepteurs AD4Q, 12 émetteurs AD2 ou AD1, coupleur d'antenne;143
Audio;SHURE;UR3-J5E;Émetteur Plug-On UHF-R UR3 (plan J5E 578-638 MHz);143
Audio;SHURE;AD3;Émetteur Plug On série AD G56;143
Audio;SHURE;AXT600;Gestionnaire de spectre UHF, assure l’exploration;143
Audio;SHURE;AD600;Gestionnaire de spectre UHF en temps réel;143
Audio;SHURE;AD610;Point d'accès ShowLink;143
Audio;SHURE;UA864-LO;Antenne murale amplifiée;143
Audio;SHURE;UA860SWB;Antenne passive omni-directionelle;143
Audio;SHURE;UA874E;Antenne directive amplifiée large bande;143
Audio;SHURE;PA805SWB;Antenne directive 7 dB;143
Audio;SHURE;UA845;Splitter d’antenne;143
Audio;SENNHEISER;ASA3000 Splitter d’antenne;;143
Audio;SENNHEISER;AD1031;Antenne omni-directionnelle;143
Audio;SENNHEISER;A2003UHF;Antenne directionnelle passive;143
Audio;SHURE;SBRC x 2;Station de charge pour SB900A;143
Audio;SHURE;SB900A;Batterie pour AD1, AD2, AD3, PSM1000;143
Audio;SENNHEISER;ASA3000;;144
Audio;SHURE;Axient Digital;;144
Audio;SHURE;WH20 XLR;Serre tête dynamique filaire;145
Audio;AUDIX;D2/D4/D6;Dynamique hypercardioïde;145
Audio;AUDIX;D6;Dynamique cardioïde;145
Audio;AUDIX;OM7;Dynamique hypercardioïde;145
Audio;AUDIX;I5;Dynamique cardioïde;145
Audio;AUDIO TECHNICA;MB3K;Dynamique unidirectionel, à interrupteur;145
Audio;BEYERDYNAMIC;M88;Dynamique hypercardioïde;145
Audio;ELECTROVOICE;RE20;Dynamique cardioïde;145
Audio;SHURE;SM57/SM58;Dynamique cardioïde;145
Audio;SHURE;SM55 SH;Dynamique cardioïde;145
Audio;SHURE;BETA57A/BETA58A;Dynamique supercardioïde;145
Audio;SHURE;BETA52;Dynamique cardioïde;145
Audio;SHURE;SM58 / SE;Dynamique cardioïde, à interrupteur;145
Audio;SENNHEISER;e606, e609;Dynamique supercardioïde;145
Audio;SENNHEISER;e825-S/e835-S;Dynamique cardioïde, à interrupteur;145
Audio;SENNHEISER;e845-S;Dynamique supercardioïde, à interrupteur;145
Audio;SENNHEISER;e835/e840,e935;Dynamique cardioïde;145
Audio;SENNHEISER;e845/e855;Dynamique supercardioïde;145
Audio;SENNHEISER;e904;Dynamique cardioïde;145
Audio;SENNHEISER;e906;Dynamique supercardioïde;145
Audio;SENNHEISER;MD421/MD441;Dynamique supercardioïde;145
Audio;BSS;AR133;Boite de direct active;145
Audio;RADIAL;ENGINEERING J48;Boite de direct active;145
Audio;RADIAL;ENGINEERING JDI;Boite de direct passive;145
Audio;RADIAL;ENGINEERING PRO D2 Boite;;145
Audio;RADIAL;ENGINEERING PRO AV1 Boite;;145
Audio;RADIAL;ENGINEERING;"Transfo 600/600 ""twin Iso""";145
Audio;RADIAL;ENGINEERING NEERING HotShot DM-1;Pédale switcher pour micros dynamiques;145
Audio;AKG;C411;Micro miniature cardioïde;146
Audio;AKG;C3000B;Statique cardioïde + suspension;146
Audio;AKG;C414 XLS;Statique multi-directivités + suspension;146
Audio;AKG;C535;Statique cardioïde;146
Audio;AUDIO TECHNICA;AT4033ASM;Micro statique cardioïde;146
Audio;AUDIO TECHNICA;AT831B;Micro-cravate cardioïde;146
Audio;AUDIO TECHNICA;AT8035;"Statique type ""canon""";146
Audio;AUDIX;SCX1;Statique cardioïde;146
Audio;DPA;4011;Statique cardioïde;146
Audio;DPA;d:vote 4099;Miniature, statique, super-cardïode;146
Audio;NEUMANN;KM184;Statique cardioïde + suspension;146
Audio;NEUMANN;KM185;Statique cardioïde + suspension;146
Audio;NEUMANN;TLM103;Statique cardioïde;146
Audio;NEUMANN;KMS105Bk;Statique hypercardioïde;146
Audio;SHURE;KSM9-CG;Micro statique cardioïde et supercardioïde;146
Audio;SHURE;BETA87A;Statique supercardioïde;146
Audio;SHURE;BETA98HC;Statique cardioïde + pince;146
Audio;SHURE;SM81;Statique cardioïde;146
Audio;SHURE;SM91/BETA91;Statique PZM semi-cardioïde;146
Audio;SENNHEISER;MKH406;Statique cardioïde;146
Audio;SENNHEISER;MKH416;Micro shotgun;146
Audio;SCHOEPS;CMC6+MK4;Statique cardioïde + suspension;146
Audio;SCHOEPS;CMC6+MK21;Statique infracardioïde + suspension;146
Audio;SCHOEPS;CMC6+MK41;Statique infracardioïde + suspension;146
Audio;SHURE;MX412 (set x2);Col de cygne statique + embase;146
Audio;SHURE;MX418 (set x2);Col de cygne statique + embase;146
Audio;SCHOEPS;CMC6+MK4+SKC300;Col de cygne statique + suspension;146
Audio;AUDIX;D2;AUDIX D4   AUDIX D6   AUDIX SCX1;146
Audio;CLEAR-COM;AC10K;Module d’interface;147
Audio;CLEAR-COM;IF4W4;Interface 2 fils / 4 fils;147
Audio;CLEAR-COM;FL7;Borne lumineuse;147
Audio;GREEN-GO;BPX;Boîtier ceinture 32 canaux filaires;147
Audio;GREEN-GO;MCX;Station rackable 32 canaux filaires;147
Audio;GREEN-GO;MCXD;Station de table 32 canaux filaires;147
Audio;GREEN-GO;WBPX;Boîtier ceinture 32 canaux sans fil;147
Audio;GREEN-GO;WAA;Antenne active pour boîtier sans fil;147
Audio;GREEN-GO;DANTE INTERFACE X Interface;;147
Audio;GREEN-GO;INTERFACE X;Interface 2 fils - 4 fils;147
Audio;GREEN-GO;RDX;Interface pour talkie-walkie;147
Audio;MOTOROLA;DP1400/SET;Set de 6 talkies + micro déporté + oreillettes;147
Audio;SHURE;P9HW;Liaison filaire, sans écouteur;149
Audio;SHURE;PSM1000;Liaison UHF, émetteur + récepteur, sans écouteur;149
Audio;SHURE;PSM1000 RACK;Rack de 4 liaisons UHF, sans écouteur;149
Audio;SHURE;SE112;Écouteurs intra-auriculaires;149
Audio;SHURE;SE315-CL;Écouteurs stéréo 1 voie, transparents;149
Audio;SHURE;SE425-CL;Écouteur stéréo 2 voies, transparents;149
Audio;SHURE;SE535CL;Écouteurs stéréo 3 voies;149
Audio;SHURE;PA821;Combineur d’antennes 8 entrées, pour;149
Audio;SHURE;HA8089;Antenne helicoïdale;149
Audio;GREEN-GO;DANTE INTERFACE X;;149
Audio;L-ACOUSTICS;Bouchon I CACOM, sans;;150
Audio;L-ACOUSTICS;Câble HP DO, 0.70/7 m;;150
Audio;L-ACOUSTICS;Câble HP DO, 10;;150
Audio;L-ACOUSTICS;Câble HP DO, 25;;150
Audio;L-ACOUSTICS;Câble HP DO, 50;;150
Audio;L-ACOUSTICS;Câble HP DO, Fill;;150
Audio;TAIDEN;HS8385HDMI Sélecteur vidéo pour;2 out HDMI et 1 entrée HDSDI;152
Audio;IIYAMA;B2280HS;Moniteur LED, 22’’;152
Audio;TAIDEN;HCS-5100MA16BD Émetteur infrarouge numérique;;152
Audio;TAIDEN;HCS-8600MIO/16AD Interface d'entrée et;;152
Audio;TAIDEN;TMX0808SDI;Boîtier de commutation HDSDI pour interprète, 8 canaux;152
Audio;TAIDEN;HSC5100T35B Radiateur infrarouge, 35 W;;153
Audio;TAIDEN;HCS5100R32 Récepteur infrarouge 32;;153
Audio;TAIDEN;HCS5100PA Casque d’écoute;NOVELTY Écouteurs à usage unique | Norme COVID;153
Audio;TAIDEN;HCS5100R32 + HCS5100PA;;153
Audio;TAIDEN;HCS-8600MEA;Unité extension;154
Audio;TAIDEN;HCS-4838CS/80;Poste président simple écoute;154
Audio;TAIDEN;HCS-4838DS/80;Poste délégué simple écoute;154
Audio;BOSCH;DCNM-WAP;Centrale et borne d'accès sans fil;154
Audio;SENNHEISER;SR 2020-D Émetteur fixe;;155
Audio;SENNHEISER;SKM 2020-D Émetteur main;;155
Audio;SENNHEISER;EK 2020-D-II Récepteur pocket;SENNHEISER HDE 2020-D-II Récepteur stéthoscopique de visite guidée - 863/865 Mz;155
Audio;SENNHEISER;SENNHEISER;SENNHEISER SR 2020-D     SENNHEISER HDE 2020-D-II;155
Audio;BEYERDYNAMIC;BD-UNIT-TH;Émetteur main DECT;155
Audio;BEYERDYNAMIC;BD-TG-H56C-TG;Micro serre tête DECT;155
Audio;BEYERDYNAMIC;BD-UNIT-TP;Émetteur pocket DECT;155
Audio;BEYERDYNAMIC;BD-UNIT-AP4;Émetteur 4 canaux DECT;155
Audio;BEYERDYNAMIC;BD-UNIT-RP;Récepteur pocket DECT;155
Audio;BEYERDYNAMIC;BEYERDYNAMIC;BEYERDYNAMIC     BEYERDYNAMIC         BEYERDYNAMIC;155
Divers;MARTIN;HUILE;Dispersion normale ou lente, bidon de 5 litres;269
Divers;MDG;Neutral;Bidon de 4 litres;269
Divers;CHAUVET;Geyser;Bidon de 5 litres;269
Distribution;;ARMOIRE RS32 V3;Armoire de distribution (fabricant non indiqué);164
Distribution;;ARMOIRE RS63 V3;Armoire de distribution (fabricant non indiqué);164
Distribution;;ARMOIRE AR125EVO;Armoire de distribution (fabricant non indiqué);165
Distribution;;ARMOIRE RS125 V3;Armoire de distribution (fabricant non indiqué);165
Distribution;;ARMOIRE RC250TRI;Armoire de distribution (fabricant non indiqué);166
Distribution;;ARMOIRE RC630TRI;Armoire de distribution (fabricant non indiqué);166
Distribution;;ARMOIRE 32TRI;Armoire de distribution (fabricant non indiqué);167
Distribution;;ARMOIRE 63TRI;Armoire de distribution (fabricant non indiqué);167
Distribution;;ARMOIRE 125TRI;Armoire de distribution (fabricant non indiqué);168
Distribution;;ARMOIRE 250TRI;Armoire de distribution (fabricant non indiqué);168
Distribution;;ARMOIRE 630TRI;Armoire de distribution (fabricant non indiqué);169
Distribution;;ARMOIRE 630TRI V2;Armoire de distribution (fabricant non indiqué);169
